lat,lon
53.5209901,10.0156924
54.6172682,8.9718171
48.1914354,11.3745609
48.1826871,11.388769
48.7985352,12.9041799
48.795701,12.9049616
48.1738883,11.4298246
48.1600456,11.4153463
53.5652734,9.8874032
53.5823917,9.713693
53.5898826,9.7101016
53.6973413,9.7122758
53.6799209,9.6771057
48.1861186,11.3835903
48.3939041,10.9154076
48.3075167,11.6390489
48.3110296,11.6574425
48.1244114,11.4495785
48.1252399,11.4474532
48.1295096,11.4310239
53.0057664,7.4938054
49.8598025,8.5551542
51.4058167,7.2277221
50.1337759,8.7064312
50.1149647,8.672785
48.6313952,9.3442932
51.4967268,7.4011908
51.468144,7.3673382
51.4708061,7.3714019
50.1010451,8.685018
51.1033846,6.8189634
53.4890577,10.186215
51.2646543,7.1285942
50.923849,6.3637631
50.9244202,6.3749774
50.9274857,6.3655512
48.1240888,11.447177
48.5990746,9.6432543
48.7030024,8.9825706
48.1613703,11.5114762
48.1350159,11.3628932
48.1238699,11.3710609
48.1873476,11.2494855
48.1768762,11.3305598
48.1723054,11.3224971
48.1720631,11.3223444
48.1497537,11.3395234
48.1372809,11.3730612
48.1724142,11.2664314
47.4920701,11.0988749
48.1374426,11.5586377
48.1374144,11.5610259
48.1363408,11.5609356
48.1352179,11.3742433
48.1462099,11.3947313
48.1459758,11.3924186
48.1403532,11.5280084
48.1735762,11.4487934
48.1811763,11.5055253
48.18313,11.5079934
48.1818252,11.5295432
50.9528216,6.9692495
50.951645,6.9679254
51.2498942,7.1507382
48.1953247,11.4580153
48.1942601,11.3663339
50.923105,6.9314187
50.8926156,6.9665621
50.8929068,6.967338
50.9004572,6.9655516
50.9280336,6.9085202
50.9294452,6.9413144
50.8949771,6.9762758
50.9044993,6.9712596
50.9225816,6.9671647
50.9428603,6.9264052
50.9097774,6.9457246
50.9312946,6.9184405
50.930522,6.9227951
50.7850462,6.4665529
48.2102769,11.4854031
48.1474116,11.5517949
48.1485659,11.5530258
48.1502453,11.5446461
50.9236676,6.9533108
48.1464809,11.4144334
50.9294581,6.9419357
48.0536753,11.6187922
48.0942451,11.4630648
48.1755798,11.7140426
48.1713595,11.7188124
48.1254285,11.3784228
48.1451404,11.5411141
48.0837519,11.151633
48.0839436,11.1517927
48.6364834,12.4954655
51.486335,7.2107045
50.1125618,8.6069806
50.1232499,8.5825523
47.7615802,11.5672661
47.7600957,11.5850477
47.7505396,11.7384905
47.7201186,11.7177781
47.7078818,11.7284422
47.6864276,11.7588833
49.0109139,8.360095
49.0035894,8.5268432
50.9527249,6.8989613
50.9284263,6.9629122
48.2868277,11.8685797
48.2930099,11.899927
48.2940793,11.9119758
48.3039113,11.9197175
48.3046788,11.918656
48.3099265,11.9176658
48.3143904,11.8963787
48.3042942,11.8922679
48.3088057,11.7291471
48.1427637,11.7084584
48.1351536,11.7149296
48.1348862,11.7146606
48.1334646,11.6942308
48.135492,11.6902629
48.1351012,11.6705293
48.1359585,11.6679063
48.1331059,11.6603284
48.1286047,11.6043702
48.2830734,11.4589183
48.2657254,11.4710469
48.8225382,9.0800297
48.8667078,9.2053249
48.8665562,9.1966616
48.2377077,12.5312647
48.1287418,11.3767627
50.9858891,6.9996628
50.9568992,7.00114
50.9376754,6.8797158
50.9378614,6.8740614
50.9377248,6.8628501
50.9319073,6.9539011
50.9315378,6.9538623
50.9319618,6.9543533
50.9355618,6.9493131
48.1518479,11.5045591
48.2804218,10.9733744
48.3710223,10.9235332
48.3621691,10.905087
48.7064132,9.6414224
48.7005192,9.6476159
48.7033148,9.6480304
48.6981651,9.6643518
48.698192,9.6705876
48.687947,9.7271629
48.6778664,9.7517063
48.6831148,9.7638471
48.6866117,9.8009772
50.9503486,6.9666511
50.9364539,6.9820799
50.9397564,6.9732509
50.9394652,6.9724819
49.8997936,8.5866043
50.9698357,6.9178084
50.9437783,6.9452957
