lat,lon
22.5914451,88.3933666
22.5501416,88.3550086
22.5170645,88.345921
22.5443564,88.3583649
22.5452408,88.3526271
22.5526512,88.3530018
22.5524977,88.356065
22.5150709,88.3461017
25.0190569,88.1478918
22.7247297,88.478989
22.5559788,88.3502937
22.5461686,88.3333164
22.0627663,88.0833157
22.0809525,88.1406831
26.7115478,88.4188077
26.7189368,88.3870574
23.6939292,86.9512627
22.5148769,88.3460833
22.5091356,88.3456436
22.5115507,88.3459004
22.5169563,88.3458997
22.5091556,88.3454669
22.5237958,88.3464233
22.5151069,88.3458835
22.5236524,88.3464271
22.699246,88.3852147
23.4092222,88.4959167
22.5483501,88.353501
22.5899102,88.3932338
22.5898078,88.3932115
22.5115657,88.3457293
22.5899426,88.3930941
22.5551148,88.350249
22.6300251,88.4213475
22.6119115,88.3852619
22.6117542,88.3857216
22.5467272,88.3614305
22.3110904,87.8735179
22.0626762,88.0831476
22.089567,88.0411353
22.1411936,87.977493
22.0896407,88.041207
22.0528056,88.0865301
22.0463519,88.0390793
22.1886844,87.9194093
22.1884404,87.9186273
22.0528597,88.0867185
22.0626061,88.0832434
22.062655,88.0834551
22.0808684,88.1407105
22.0808315,88.1406004
22.0809313,88.1405715
22.3110627,87.8734062
22.0809493,88.1405883
22.2696979,87.8917408
22.269634,87.891604
22.1412956,87.9775648
22.5134253,88.3458156
22.5466066,88.3613648
22.5602948,88.4912892
22.5459595,88.3329192
22.5236168,88.3465786
22.5237998,88.3465724
22.5151861,88.3457963
22.5170587,88.3457099
22.5169333,88.3456901
22.5527237,88.3527849
22.5525954,88.3527818
22.5352419,88.3648275
22.5352803,88.3649227
22.5352841,88.3651026
22.5340226,88.3645678
22.5339868,88.3646038
22.5339977,88.3647626
22.5340477,88.3646954
22.5413154,88.351664
22.5415169,88.35148
22.5415978,88.3516146
22.541319,88.3548842
22.5410797,88.3548601
22.5411256,88.355048
22.5414043,88.3552049
22.5134229,88.3460127
22.1413378,87.9774877
22.1412355,87.9774167
22.2696221,87.8917822
22.2695595,87.8916481
22.5467451,88.3614972
22.5466684,88.3615256
22.5551657,88.3499595
22.5552694,88.3499085
22.5554141,88.3502281
22.5524918,88.352976
26.5585666,88.7240785
26.6912061,88.4116253
26.6566804,88.4165733
26.6904296,88.412147
26.6903434,88.4112565
22.5524818,88.3562056
23.1421679,87.1997711
22.9423535,88.640066
22.9424353,88.6404637
22.9419294,88.637868
26.249198,88.2067038
26.235548,88.1953253
26.651808,88.4174008
26.5587736,88.7247917
26.2595428,88.1866021
26.2592803,88.1861796
26.2597218,88.1868301
26.2710498,88.203484
26.2647453,88.1932699
26.2651495,88.1938088
26.2553657,88.1811557
26.255065,88.1812777
26.2541725,88.2098979
26.2361418,88.1674774
26.2363733,88.1667471
26.2352626,88.1946925
26.2488198,88.2063878
26.2689114,88.2181917
26.235253,88.1731069
26.2350138,88.1738281
22.9419705,88.6381197
22.9420657,88.6379705
22.3111212,87.8733897
22.3111464,87.873502
22.5555514,88.5034439
22.5557367,88.5036349
22.5555187,88.5037769
22.5557425,88.5033749
22.5589511,88.4942266
22.5586959,88.4944741
22.5586018,88.4942567
22.5604886,88.4913096
22.5605987,88.490995
26.5235956,88.7307055
26.5585327,88.7244135
26.5242606,88.7200459
26.5243561,88.7198723
26.5241655,88.7198089
26.5211132,88.7274548
26.5211726,88.7273403
26.5210543,88.7272451
26.5209767,88.7273342
22.942215,88.64032
26.524272,88.7197255
26.5237653,88.7308526
26.5235406,88.7308662
26.5354636,88.6889961
26.5355334,88.6897146
26.5353911,88.6895435
26.5588867,88.7245968
26.5470375,88.7093779
26.5470532,88.7088773
26.5471927,88.7089547
26.5468844,88.7092194
26.5306573,88.7240934
26.5304851,88.7242442
26.5304997,88.7240825
26.5455858,88.7054553
26.5454739,88.7053744
26.5454261,88.7056669
26.5453271,88.7055407
26.5160648,88.7254625
26.7157438,88.4229739
26.7158942,88.4226303
26.7154088,88.4228862
26.7117774,88.4187017
26.7117198,88.4184983
26.7115448,88.4184603
26.6571699,88.4165924
