lat,lon
28.6019058,77.1806989
28.6298938,77.2194853
28.6314291,77.2167421
28.6357191,77.2198833
28.6128415,77.240186
28.6137551,77.2122049
28.5750132,77.2293285
28.6072791,77.2402233
28.5412636,77.2319571
28.6131109,77.2509563
28.5362704,77.1973711
28.5247292,77.155435
28.5289358,77.1483078
28.5443455,77.1783143
28.5276395,77.1890782
28.511296,77.1827517
28.5080584,77.1771335
28.6060281,77.1874331
28.6130207,77.2276662
28.6134521,77.2184671
28.6015743,77.2303171
28.627,77.2154323
28.6237742,77.2021577
28.6092512,77.172759
28.6236985,77.1808473
28.6334342,77.1738019
28.5056348,77.1745971
28.5469374,77.1245596
28.5469506,77.1239255
28.585618,77.1464877
28.5317349,77.1948383
28.636629,77.3146721
28.5234455,77.1901781
28.5303899,77.1996066
28.5491413,77.2102248
28.5787368,77.1761308
28.5785637,77.176215
28.5750969,77.1685162
28.6451937,77.2237187
28.6457453,77.2095779
28.5318836,77.1947915
28.5229829,77.1901725
28.6331041,77.1742541
28.5448602,77.201429
28.544581,77.2012989
28.5448151,77.2015623
28.550956,77.2040297
28.5508889,77.2041266
28.6076939,77.1410827
28.6360957,77.3143823
28.6454561,77.3171435
28.6250726,77.2401647
28.640258,77.2409817
28.6431269,77.2028629
28.5915512,77.212684
28.5981889,77.2190372
28.5827107,77.2515381
28.6354222,77.1856514
28.569368,77.1896961
28.5751624,77.1684872
28.578595,77.1758214
28.5767645,77.1718279
28.5765911,77.1718354
28.5784322,77.175923
28.5976262,77.1461863
28.5977244,77.1462065
28.6250157,77.1014862
28.6249778,77.1013818
28.6019587,77.1805555
28.6414966,77.1749671
28.5156583,77.226657
28.5155402,77.2266758
28.5178435,77.2153801
28.5179587,77.2154078
28.5302096,77.1995181
28.7315399,77.1583797
28.5765804,77.0695337
28.5607759,77.2009032
28.5393248,77.1990944
28.5854327,77.1263236
28.6409537,77.2258197
28.6675949,77.3217556
28.5762161,77.1129669
28.5271424,77.2218673
28.5907778,77.0692323
28.5765048,77.0694607
28.5765707,77.0693657
28.5697216,77.1895647
28.5697067,77.1897259
28.5693767,77.1895156
28.6034575,77.0557206
28.6033804,77.0558466
28.6035524,77.0558
28.5762932,77.1130063
28.5908743,77.069297
28.6217685,77.0889197
28.6218783,77.0877421
28.6218058,77.0877347
28.6216872,77.0888983
28.6216744,77.0889714
28.6219854,77.0929427
28.62492,77.101405
28.6249573,77.101511
28.6967303,77.2271624
28.6966986,77.2273095
28.7091539,77.227411
28.7091302,77.2270376
28.6397138,77.2079363
28.6418752,77.2184547
28.5723099,77.2582751
28.5725405,77.2580903
28.5118819,77.2518294
28.5117599,77.2518247
28.6499865,77.2162545
28.645049,77.223574
28.6624042,77.2337514
28.572694,77.2583369
28.5724574,77.2585233
28.6797001,77.2292984
28.7408938,77.1534932
28.5445296,77.2014283
28.7026445,77.1669002
28.6559796,77.23685
28.6598053,77.2362154
28.6278831,77.2051876
28.5699536,77.1992925
28.5653268,77.2337986
28.5656192,77.2339132
28.5655793,77.2343135
28.5652654,77.2342355
28.5293987,77.1485525
28.598108,77.3197053
28.6675741,77.1121732
28.668495,77.1019791
28.670965,77.1127752
28.678158,77.1048426
28.6763466,77.1194023
28.6765042,77.1194251
28.6753165,77.1289561
28.6751075,77.1289356
28.679386,77.0949115
28.6429165,77.1112294
28.6463242,77.1170937
28.6792416,77.0959731
28.6285178,77.0752058
28.618935,77.0314606
28.5239251,77.2750559
28.5191018,77.2784569
28.6277161,77.2411907
28.627535,77.241288
28.6130631,77.250842
28.598314,77.2559247
28.5986553,77.2556631
28.6020151,77.3258327
28.6018664,77.3257294
28.6017862,77.3258837
28.664045,77.3205755
28.6641413,77.3206068
28.6596835,77.3200871
28.6364243,77.3142824
28.6328853,77.3156581
28.6326893,77.3155169
28.6325046,77.3156527
28.63281,77.3158767
28.632514,77.3056335
28.6127006,77.3075546
28.6126271,77.3076235
28.6126183,77.3075245
28.5905594,77.2990111
28.5904677,77.2990892
28.6051696,77.2966622
28.5921252,77.2346201
